Year,Anomaly
192907,-0.38
192908,-0.21
192909,-0.25
192910,0.00
192911,0.01
192912,-0.88
193001,-0.25
193002,-0.27
193003,0.20
193004,-0.20
193005,-0.15
193006,-0.02
193007,0.02
193008,0.00
193009,-0.19
193010,-0.18
193011,0.33
193012,0.02
193101,-0.12
193102,-0.36
193103,-0.14
193104,-0.26
193105,-0.23
193106,0.10
193107,0.17
193108,0.15
193109,0.22
193110,0.36
193111,0.13
193112,0.23
193201,0.61
193202,-0.17
193203,-0.19
193204,0.26
193205,-0.11
193206,-0.08
193207,0.06
193208,-0.03
193209,0.16
193210,0.15
193211,-0.29
193212,-0.26
193301,-0.40
193302,-0.58
193303,-0.37
193304,-0.25
193305,-0.28
193306,-0.35
193307,-0.19
193308,-0.09
193309,-0.28
193310,-0.12
193311,-0.28
193312,-0.46
193401,-0.21
193402,0.56
193403,-0.34
193404,-0.43
193405,0.21
193406,-0.01
193407,-0.05
193408,-0.06
193409,-0.22
193410,0.21
193411,0.48
193412,0.28
193501,-0.51
193502,0.78
193503,0.13
193504,-0.58
193505,-0.34
193506,-0.16
193507,-0.02
193508,-0.04
193509,-0.01
193510,0.09
193511,-0.53
193512,-0.14
193601,-0.65
193602,-0.90
193603,-0.30
193604,-0.09
193605,0.11
193606,0.09
193607,0.25
193608,0.08
193609,-0.04
193610,0.02
193611,0.24
193612,0.23
193701,-0.02
193702,0.19
193703,-0.46
193704,-0.21
193705,0.14
193706,0.21
193707,0.07
193708,0.12
193709,0.37
193710,0.37
193711,0.40
193712,0.14
193801,0.37
193802,0.27
193803,0.37
193804,0.51
193805,0.19
193806,-0.02
193807,0.06
193808,0.10
193809,0.41
193810,0.47
193811,0.56
193812,0.12
193901,0.14
193902,-0.06
193903,-0.28
193904,0.04
193905,0.16
193906,0.06
193907,0.06
193908,0.12
193909,0.00
193910,-0.10
193911,0.09
193912,1.20
194001,-0.10
194002,0.07
194003,0.07
194004,0.36
194005,0.15
194006,0.09
194007,0.19
194008,0.06
194009,0.30
194010,0.21
194011,0.07
194012,0.45
194101,-0.02
194102,0.35
194103,-0.15
194104,0.15
194105,0.20
194106,0.14
194107,0.24
194108,0.21
194109,-0.16
194110,0.33
194111,-0.12
194112,-0.02
194201,0.58
194202,-0.22
194203,-0.17
194204,-0.02
194205,0.05
194206,0.05
194207,-0.21
194208,-0.10
194209,0.06
194210,0.22
194211,0.21
194212,0.28
194301,-0.37
194302,0.30
194303,-0.03
194304,0.39
194305,0.34
194306,-0.16
194307,-0.02
194308,-0.10
194309,0.06
194310,0.62
194311,0.40
194312,0.49
194401,0.71
194402,0.43
194403,0.37
194404,0.03
194405,0.12
194406,0.07
194407,0.01
194408,0.01
194409,0.40
194410,0.51
194411,0.12
194412,0.15
194501,0.09
194502,-0.33
194503,-0.05
194504,0.31
194505,-0.13
194506,-0.08
194507,-0.08
194508,0.30
194509,0.07
194510,0.19
194511,-0.09
194512,-0.52
194601,0.31
194602,0.01
194603,0.00
194604,0.25
194605,0.07
194606,-0.25
194607,-0.07
194608,-0.05
194609,-0.10
194610,-0.10
194611,0.13
194612,-0.38
194701,0.07
194702,0.04
194703,0.33
194704,0.20
194705,0.09
194706,-0.05
194707,-0.05
194708,-0.15
194709,0.00
194710,0.58
194711,0.29
194712,0.10
194801,0.40
