id,city,name,country,measurements,bounds,unit,count,average,lastValue,parameter,displayName,parameterId,latitude,longitude,modelName,manufacturerName
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",mb,16775,987.58,993.87,pressure,pressure mb,132,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",f,16775,83.0,83.0,temperature,temperature f,128,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",particles/cm³,412795,0.07587987030240034,0.03,um025,um025 particles/cm³,130,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",particles/cm³,412795,0.7520340224293444,0.58,um010,um010 particles/cm³,126,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",particles/cm³,43136,5.657737831769247,5.25,um005,um005 particles/cm³,133,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",%,43136,46.87080815536279,27.0,humidity,humidity %,134,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",c,4078,72.52551600121676,68.0,temperature,temperature c,100,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",µg/m³,412795,7.329808337347884,8.7,pm1,pm1 µg/m³,19,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",µg/m³,412795,13.381075690324836,11.9,pm10,pm10 µg/m³,1,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",particles/cm³,43136,0.029933047166045796,0.0,um050,um050 particles/cm³,129,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",f,39059,73.11387240760459,96.0,temperature,temperature f,128,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",particles/cm³,412795,0.003691318585671898,0.0,um100,um100 particles/cm³,135,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",particles/cm³,43136,18.575161522088052,17.96,um003,um003 particles/cm³,125,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",µg/m³,412795,11.041413220175759,11.2,pm25,pm25 µg/m³,2,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
62575,,SCSH_08,US,2735587,"[-117.309296, 33.950623, -117.309296, 33.950623]",mb,43136,959.9856903776016,958.63,pressure,pressure mb,132,33.950623,-117.309296,PurpleAir Sensor,PurpleAir
